file,index,before_pt,after_pt,before_area,after_area
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1676(iou_0.00).bmp,1619,942,114,53351,53451,34576191834816512.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1677(iou_0.00).bmp,1620,1244,261,59423,59354,0.116117
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1678(iou_0.00).bmp,1621,2346,162,112533,112736,16392297809707008.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1679(iou_0.00).bmp,1622,854,99,76207,75495,0.934297
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1680(iou_0.00).bmp,1623,594,45,30751,30871,59987460330881024.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1681(iou_0.00).bmp,1624,1477,135,58124,57928,0.337210
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1682(iou_0.00).bmp,1625,757,61,42467,42174,0.689947
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1683(iou_0.00).bmp,1626,859,150,100722,101010,18314513644257280.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1684(iou_0.00).bmp,1627,1814,432,142631,142450,0.126901
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1685(iou_0.00).bmp,1628,1139,97,49584,49312,0.548564
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1686(iou_0.00).bmp,1629,2092,296,88463,88035,0.483818
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1687(iou_0.00).bmp,1630,958,191,59651,59624,0.045263
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1688(iou_0.00).bmp,1631,2234,233,111891,111020,0.778436
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1689(iou_0.00).bmp,1632,2402,129,98191,97436,0.768910
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1690(iou_0.00).bmp,1633,192,25,20027,19987,0.199730
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1691(iou_0.00).bmp,1634,1393,102,71755,71601,0.214619
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1692(iou_0.00).bmp,1635,894,105,96780,95428,1.396983
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1693(iou_0.00).bmp,1636,1021,147,102255,100765,1.457142
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1694(iou_0.00).bmp,1637,2460,625,64703,64192,0.789762
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1695(iou_0.00).bmp,1638,1171,103,52220,51681,1.032172
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1696(iou_0.00).bmp,1639,1812,257,75238,74852,0.513039
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1697(iou_0.00).bmp,1640,326,69,12644,12603,0.324264
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1698(iou_0.00).bmp,1641,530,59,34201,33565,1.859595
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1699(iou_0.00).bmp,1642,867,81,65762,66178,28050764270141440.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1700(iou_0.00).bmp,1643,1611,142,99721,97753,1.973506
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1701(iou_0.00).bmp,1644,2036,463,89227,88723,0.564851
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1702(iou_0.00).bmp,1645,276,31,15537,15533,0.025745
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1703(iou_0.00).bmp,1646,523,98,21280,21170,0.516917
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1704(iou_0.00).bmp,1647,1935,186,103192,102683,0.493255
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1705(iou_0.00).bmp,1648,1754,401,65612,65247,0.556301
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1706(iou_0.00).bmp,1649,2134,189,101938,101799,0.136357
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1707(iou_0.00).bmp,1650,990,221,51005,50757,0.486227
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1708(iou_0.00).bmp,1651,15,6,155,141,9.032258
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1712(iou_0.00).bmp,1652,884,72,59014,58777,0.401600
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1713(iou_0.00).bmp,1653,169,24,12768,12569,1.558584
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1714(iou_0.00).bmp,1654,47,6,2673,2573,3.741115
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1715(iou_0.00).bmp,1655,673,97,65743,65222,0.792480
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1716(iou_0.00).bmp,1656,970,81,59501,59823,31002409677357056.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1717(iou_0.00).bmp,1657,962,59,49318,49319,37403676179955712.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1718(iou_0.00).bmp,1658,104,13,16325,16032,1.794793
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1719(iou_0.00).bmp,1659,467,60,35382,34737,1.822961
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1720(iou_0.00).bmp,1660,761,101,83311,83015,0.355295
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1721(iou_0.00).bmp,1661,648,60,33596,33689,54907561991733248.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1722(iou_0.00).bmp,1662,772,83,65978,65826,0.230380
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1723(iou_0.00).bmp,1663,200,33,34807,34903,52997224962981888.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1724(iou_0.00).bmp,1664,2382,166,98785,99575,18673628744777728.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1725(iou_0.00).bmp,1665,1671,381,57005,56789,0.378914
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1726(iou_0.00).bmp,1666,877,94,46807,46392,0.886620
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1727(iou_0.00).bmp,1667,480,104,31236,31238,59056036543201280.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1728(iou_0.00).bmp,1668,236,61,2616,2509,4.090214
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1729(iou_0.00).bmp,1669,249,51,4711,4705,0.127361
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1730(iou_0.00).bmp,1670,504,96,14582,14467,0.788644
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1731(iou_0.00).bmp,1671,470,101,47127,47012,0.244021
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1732(iou_0.00).bmp,1672,1238,132,60858,60750,0.177462
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1733(iou_0.00).bmp,1673,663,71,57936,57885,0.088028
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1734(iou_0.00).bmp,1674,1723,124,76488,76624,24117173374943232.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1735(iou_0.00).bmp,1675,1730,162,91930,92192,20066076469493760.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1736(iou_0.00).bmp,1676,893,144,95163,94317,0.889001
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1737(iou_0.00).bmp,1677,1974,135,95785,95241,0.567939
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1738(iou_0.00).bmp,1678,1748,138,110952,110920,0.028841
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1739(iou_0.00).bmp,1679,1274,154,99230,97429,1.814975
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1740(iou_0.00).bmp,1680,199,24,24241,24068,0.713667
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1741(iou_0.00).bmp,1681,208,27,16879,16872,0.041472
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1742(iou_0.00).bmp,1682,917,89,55245,55355,33390793746022400.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1743(iou_0.00).bmp,1683,1473,331,59218,59000,0.368131
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1744(iou_0.00).bmp,1684,2508,200,106473,106755,17325278523031552.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1745(iou_0.00).bmp,1685,798,80,72807,72155,0.895518
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1746(iou_0.00).bmp,1686,610,59,30739,30659,0.260256
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1747(iou_0.00).bmp,1687,1353,99,55307,55227,0.144647
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1748(iou_0.00).bmp,1688,736,55,43231,43017,0.495015
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1749(iou_0.00).bmp,1689,796,149,100720,101361,18314876568993792.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1750(iou_0.00).bmp,1690,3204,756,119728,119424,0.253909
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1751(iou_0.00).bmp,1691,1147,80,49477,49150,0.660913
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1752(iou_0.00).bmp,1692,2453,390,81634,81558,0.093098
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1753(iou_0.00).bmp,1693,1088,217,69661,69656,0.007178
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1754(iou_0.00).bmp,1694,2087,189,113173,112229,0.834121
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1755(iou_0.00).bmp,1695,2392,117,99556,99260,0.297320
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1756(iou_0.00).bmp,1696,181,23,20887,20459,2.049121
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1757(iou_0.00).bmp,1697,1496,108,76019,76044,24265966074462208.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1758(iou_0.00).bmp,1698,874,104,92740,91363,1.484796
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1759(iou_0.00).bmp,1699,1040,154,100903,99413,1.476666
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1760(iou_0.00).bmp,1700,2077,478,127548,127228,0.250886
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1761(iou_0.00).bmp,1701,1154,107,52858,52391,0.883499
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1762(iou_0.00).bmp,1702,1945,261,86882,86615,0.307313
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1763(iou_0.00).bmp,1703,419,108,11237,11173,0.569547
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1764(iou_0.00).bmp,1704,569,83,33746,33148,1.772062
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1765(iou_0.00).bmp,1705,882,74,64031,64886,28809083695923200.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1766(iou_0.00).bmp,1706,1608,151,101272,99603,1.648037
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1767(iou_0.00).bmp,1707,2742,601,106525,105889,0.597043
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1768(iou_0.00).bmp,1708,324,31,14719,14668,0.346491
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1769(iou_0.00).bmp,1709,539,80,25062,24963,0.395020
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1770(iou_0.00).bmp,1710,1905,187,104251,103692,0.536206
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1771(iou_0.00).bmp,1711,1450,278,81643,81226,0.510760
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1772(iou_0.00).bmp,1712,2205,188,101801,101856,18120396154863616.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1773(iou_0.00).bmp,1713,1580,300,77159,76903,0.331782
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1775(iou_0.00).bmp,1714,2149,145,96884,96264,0.639941
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1776(iou_0.00).bmp,1715,1780,420,135467,135266,0.148376
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1777(iou_0.00).bmp,1716,872,82,61718,61389,0.533070
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1778(iou_0.00).bmp,1717,192,26,13845,13809,0.260022
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1779(iou_0.00).bmp,1718,40,7,3483,3423,1.722653
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1780(iou_0.00).bmp,1719,682,90,68540,67287,1.828130
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1781(iou_0.00).bmp,1720,1094,91,63582,63802,29012525559316480.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1782(iou_0.00).bmp,1721,1025,62,52242,51427,1.560048
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1783(iou_0.00).bmp,1722,111,14,16829,16743,0.511023
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1784(iou_0.00).bmp,1723,392,55,28099,27544,1.975159
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1785(iou_0.00).bmp,1724,668,88,83689,83528,0.192379
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1786(iou_0.00).bmp,1725,543,62,26792,26887,68851688714272768.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1787(iou_0.00).bmp,1726,738,87,51716,51620,0.185629
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1788(iou_0.00).bmp,1727,218,38,31836,31756,0.251288
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1789(iou_0.00).bmp,1728,2388,165,99536,99793,18532736637599744.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1790(iou_0.00).bmp,1729,1372,338,30863,30516,1.124324
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1791(iou_0.00).bmp,1730,1123,153,52673,52445,0.432859
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1792(iou_0.00).bmp,1731,339,69,32160,32057,0.320274
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1793(iou_0.00).bmp,1732,281,64,7306,7297,0.123186
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1794(iou_0.00).bmp,1733,102,19,3009,3014,613052293117378560.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1795(iou_0.00).bmp,1734,177,46,3604,3585,0.527192
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1796(iou_0.00).bmp,1735,590,112,33533,33459,0.220678
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1797(iou_0.00).bmp,1736,1264,147,61431,61236,0.317429
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1798(iou_0.00).bmp,1737,785,97,61160,61002,0.258339
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1799(iou_0.00).bmp,1738,1762,130,80523,80241,0.350210
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1800(iou_0.00).bmp,1739,1821,148,96586,96548,0.039343
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1801(iou_0.00).bmp,1740,984,173,99377,98591,0.790927
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1802(iou_0.00).bmp,1741,2078,169,100167,99356,0.809648
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1803(iou_0.00).bmp,1742,1890,162,113394,113045,0.307776
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1804(iou_0.00).bmp,1743,1330,155,99647,97719,1.934830
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1805(iou_0.00).bmp,1744,175,22,23713,23803,77791693205667840.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1806(iou_0.00).bmp,1745,175,25,15033,14720,2.082086
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1807(iou_0.00).bmp,1746,879,91,52860,53015,34897358751793152.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1808(iou_0.00).bmp,1747,1766,401,73558,73259,0.406482
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1809(iou_0.00).bmp,1748,2392,206,110969,111296,16623330543009792.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1810(iou_0.00).bmp,1749,877,104,74765,74358,0.544372
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1811(iou_0.00).bmp,1750,559,63,30218,30052,0.549341
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1812(iou_0.00).bmp,1751,1397,112,55494,55535,33240970254352384.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1813(iou_0.00).bmp,1752,732,63,41830,41502,0.784126
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1814(iou_0.00).bmp,1753,915,174,100375,100679,18377827904651264.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1815(iou_0.00).bmp,1754,1499,345,144981,144648,0.229685
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1816(iou_0.00).bmp,1755,1161,83,50623,50419,0.402979
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1817(iou_0.00).bmp,1756,2180,317,86471,86127,0.397821
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1818(iou_0.00).bmp,1757,1532,329,70554,69946,0.861751
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1819(iou_0.00).bmp,1758,2172,197,114865,114285,0.504941
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1820(iou_0.00).bmp,1759,2405,114,93929,93232,0.742050
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1821(iou_0.00).bmp,1760,220,28,20708,20320,1.873672
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1822(iou_0.00).bmp,1761,1459,112,75177,74976,0.267369
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1823(iou_0.00).bmp,1762,920,112,93475,92223,1.339396
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1824(iou_0.00).bmp,1763,1057,159,100861,99290,1.557589
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1825(iou_0.00).bmp,1764,2291,563,70866,70338,0.745068
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1826(iou_0.00).bmp,1765,1180,115,51875,51584,0.560964
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1827(iou_0.00).bmp,1766,2236,304,95393,94761,0.662522
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1828(iou_0.00).bmp,1767,351,63,22680,22517,0.718695
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1829(iou_0.00).bmp,1768,550,73,34247,33769,1.395743
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1830(iou_0.00).bmp,1769,873,88,64322,65006,28678748618358784.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1831(iou_0.00).bmp,1770,1613,133,99622,98154,1.473570
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1832(iou_0.00).bmp,1771,1778,366,103242,102590,0.631526
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1833(iou_0.00).bmp,1772,287,33,14604,14542,0.424541
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1834(iou_0.00).bmp,1773,504,81,17168,17033,0.786347
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1835(iou_0.00).bmp,1774,1906,176,104701,103869,0.794644
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1836(iou_0.00).bmp,1775,1458,310,90764,90636,0.141025
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1837(iou_0.00).bmp,1776,2187,212,102866,102717,0.144849
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1838(iou_0.00).bmp,1777,1044,168,70824,70809,0.021179
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1839(iou_0.00).bmp,1778,75,17,1408,1403,0.355114
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1840(iou_0.00).bmp,1779,2116,165,95192,94809,0.402345
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1841(iou_0.00).bmp,1780,4151,922,174424,174307,0.067078
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1842(iou_0.00).bmp,1781,916,76,61987,61479,0.819527
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1843(iou_0.00).bmp,1782,189,19,13494,13325,1.252409
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1844(iou_0.00).bmp,1783,31,8,3046,3035,0.361129
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1845(iou_0.00).bmp,1784,708,86,68769,67453,1.913653
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1846(iou_0.00).bmp,1785,1053,82,63784,63975,28920645471436800.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1847(iou_0.00).bmp,1786,1048,63,52931,52276,1.237460
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1848(iou_0.00).bmp,1787,89,13,17382,17109,1.570590
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1849(iou_0.00).bmp,1788,399,68,28632,28443,0.660101
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1850(iou_0.00).bmp,1789,743,105,83820,83780,0.047721
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1851(iou_0.00).bmp,1790,535,60,26898,26995,68580354155347968.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1852(iou_0.00).bmp,1791,687,73,62885,62609,0.438896
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1853(iou_0.00).bmp,1792,312,68,33846,33621,0.664776
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1854(iou_0.00).bmp,1793,2344,168,99499,99639,18539627912626176.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1855(iou_0.00).bmp,1794,1759,394,58740,58489,0.427307
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1856(iou_0.00).bmp,1795,846,88,54768,54519,0.454645
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1857(iou_0.00).bmp,1796,414,84,23751,23730,0.088417
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1861(iou_0.00).bmp,1797,681,155,46272,46234,0.082123
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1862(iou_0.00).bmp,1798,1208,119,60015,59876,0.231609
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1863(iou_0.00).bmp,1799,759,78,60217,60547,30633781224275968.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1864(iou_0.00).bmp,1800,1835,129,81452,81733,22647379731677184.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1865(iou_0.00).bmp,1801,1830,157,96717,96272,0.460105
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1866(iou_0.00).bmp,1802,934,163,99745,98636,1.111835
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1867(iou_0.00).bmp,1803,2165,170,99736,98834,0.904388
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1868(iou_0.00).bmp,1804,1773,144,112996,112916,0.070799
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1869(iou_0.00).bmp,1805,1323,151,100673,99043,1.619103
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1870(iou_0.00).bmp,1806,204,20,23957,23710,1.031014
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1871(iou_0.00).bmp,1807,184,24,15236,14879,2.343135
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1872(iou_0.00).bmp,1808,1339,176,64386,64787,28650240772931584.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1873(iou_0.00).bmp,1809,1205,251,56991,56722,0.472004
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1874(iou_0.00).bmp,1810,2449,186,111248,111396,16581641442951168.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1875(iou_0.00).bmp,1811,850,96,75421,75057,0.482624
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1876(iou_0.00).bmp,1812,596,57,30442,30300,0.466461
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1877(iou_0.00).bmp,1813,1386,122,55946,55615,0.591642
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1878(iou_0.00).bmp,1814,717,65,42395,42338,0.134450
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1879(iou_0.00).bmp,1815,785,149,99604,99962,18520083663945728.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1880(iou_0.00).bmp,1816,2716,666,138384,138119,0.191496
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1881(iou_0.00).bmp,1817,1193,85,49540,49218,0.649980
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1882(iou_0.00).bmp,1818,2539,422,96886,96965,19039639415291904.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1883(iou_0.00).bmp,1819,978,172,52829,52582,0.467546
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1884(iou_0.00).bmp,1820,2209,217,118052,117736,0.267679
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1885(iou_0.00).bmp,1821,2395,116,93922,93198,0.770852
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1886(iou_0.00).bmp,1822,199,25,21234,21063,0.805312
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1887(iou_0.00).bmp,1823,1422,104,75288,75480,24501572947935232.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1888(iou_0.00).bmp,1824,876,105,93950,92891,1.127195
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1889(iou_0.00).bmp,1825,996,153,102320,100569,1.711298
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1890(iou_0.00).bmp,1826,1946,466,118325,117532,0.670188
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1891(iou_0.00).bmp,1827,1214,103,52309,52028,0.537192
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1892(iou_0.00).bmp,1828,1806,249,91805,90921,0.962911
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1893(iou_0.00).bmp,1829,447,104,12381,12145,1.906147
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1894(iou_0.00).bmp,1830,562,63,35137,34771,1.041637
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1895(iou_0.00).bmp,1831,884,71,65706,66690,28074672205594624.000000
