file,index,before_pt,after_pt,before_area,after_area
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0051(iou_0.00).bmp,49,1762,150,90887,90251,0.699770
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0052(iou_0.00).bmp,50,207,28,14639,14587,0.355216
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0053(iou_0.00).bmp,51,1744,136,98035,99074,18816487946977280.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0054(iou_0.00).bmp,52,1862,395,100674,100681,18323245312770048.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0055(iou_0.00).bmp,53,935,77,57611,57637,32019481555369984.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0056(iou_0.00).bmp,54,997,121,53770,53706,0.119025
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0057(iou_0.00).bmp,55,1806,443,77269,76878,0.506024
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0058(iou_0.00).bmp,56,2377,169,112620,113155,16379634098634752.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0059(iou_0.00).bmp,57,871,102,72077,71591,0.674279
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0060(iou_0.00).bmp,58,556,55,29586,29677,62349572084596736.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0061(iou_0.00).bmp,59,1378,100,54760,54595,0.301315
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0062(iou_0.00).bmp,60,746,61,41211,40921,0.703696
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0063(iou_0.00).bmp,61,816,167,99856,100272,18473345829830656.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0064(iou_0.00).bmp,62,2447,622,138898,138417,0.346297
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0065(iou_0.00).bmp,63,1113,87,50458,50072,0.764993
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0066(iou_0.00).bmp,64,2227,322,114005,113622,0.335950
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0067(iou_0.00).bmp,65,1304,272,65819,65659,0.243091
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0068(iou_0.00).bmp,66,2152,192,115595,114910,0.592586
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0069(iou_0.00).bmp,67,2422,123,95635,94958,0.707900
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0070(iou_0.00).bmp,68,202,30,20356,20472,90620674619473920.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0071(iou_0.00).bmp,69,1454,107,73424,73397,0.036773
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0072(iou_0.00).bmp,70,901,107,92797,91336,1.574404
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0073(iou_0.00).bmp,71,1074,163,99464,97720,1.753398
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0074(iou_0.00).bmp,72,2367,606,91729,91554,0.190779
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0075(iou_0.00).bmp,73,1156,101,51154,50768,0.754584
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0076(iou_0.00).bmp,74,1994,309,71487,70743,1.040749
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0077(iou_0.00).bmp,75,269,70,20246,20165,0.400079
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0078(iou_0.00).bmp,76,536,62,34242,33641,1.755154
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0079(iou_0.00).bmp,77,875,73,64080,64918,28787054808662016.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0080(iou_0.00).bmp,78,1620,145,98628,96923,1.728718
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0081(iou_0.00).bmp,79,2644,591,99727,98815,0.914497
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0082(iou_0.00).bmp,80,312,32,14546,14469,0.529355
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0083(iou_0.00).bmp,81,1000,204,27722,27456,0.959527
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0084(iou_0.00).bmp,82,1891,175,103220,102325,0.867080
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0085(iou_0.00).bmp,83,1122,281,33689,33541,0.439313
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0086(iou_0.00).bmp,84,2174,178,100751,100512,0.237218
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0087(iou_0.00).bmp,85,1242,216,69188,68716,0.682199
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0088(iou_0.00).bmp,86,21,5,232,220,5.172414
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0089(iou_0.00).bmp,87,2152,160,95567,95200,0.384024
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0090(iou_0.00).bmp,88,2141,464,140199,139859,0.242512
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0091(iou_0.00).bmp,89,905,76,60987,60506,0.788693
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0092(iou_0.00).bmp,90,186,21,13042,12964,0.598068
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0093(iou_0.00).bmp,91,36,4,3155,3147,0.253566
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0094(iou_0.00).bmp,92,684,86,66142,65169,1.471077
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0095(iou_0.00).bmp,93,1040,86,61775,62339,29861181032235008.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0096(iou_0.00).bmp,94,1005,59,51578,51202,0.728993
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0097(iou_0.00).bmp,95,95,13,16859,16725,0.794828
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0098(iou_0.00).bmp,96,417,63,30345,29819,1.733399
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0099(iou_0.00).bmp,97,738,105,83960,83490,0.559790
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0100(iou_0.00).bmp,98,556,57,28993,29228,63624820889223168.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0101(iou_0.00).bmp,99,767,108,59068,58793,0.465565
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0102(iou_0.00).bmp,100,231,43,33876,33793,0.245011
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0103(iou_0.00).bmp,101,2387,160,97335,97479,18951809481572352.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0104(iou_0.00).bmp,102,1703,365,66900,66760,0.209268
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0105(iou_0.00).bmp,103,996,128,48840,48486,0.724816
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0106(iou_0.00).bmp,104,417,95,23792,23696,0.403497
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0107(iou_0.00).bmp,105,637,147,8343,8128,2.577011
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0108(iou_0.00).bmp,106,158,44,873,821,5.956472
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0109(iou_0.00).bmp,107,76,20,797,772,3.136763
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0110(iou_0.00).bmp,108,521,101,43916,43549,0.835686
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0111(iou_0.00).bmp,109,1251,109,59552,59524,0.047018
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0112(iou_0.00).bmp,110,694,81,59488,59311,0.297539
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0113(iou_0.00).bmp,111,1833,149,78947,78960,23365985742356480.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0114(iou_0.00).bmp,112,1828,162,95302,95144,0.165789
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0115(iou_0.00).bmp,113,987,162,98026,96971,1.076245
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0116(iou_0.00).bmp,114,2046,145,96843,96397,0.460539
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0117(iou_0.00).bmp,115,1875,167,113491,113432,0.051987
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0118(iou_0.00).bmp,116,1272,150,97895,96210,1.721232
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0119(iou_0.00).bmp,117,206,24,24282,24151,0.539494
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0120(iou_0.00).bmp,118,207,27,15535,15340,1.255230
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0121(iou_0.00).bmp,119,891,87,53137,53416,34715441117003776.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0122(iou_0.00).bmp,120,1408,281,68795,68626,0.245657
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0123(iou_0.00).bmp,121,2344,179,110246,110635,16732347550400512.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0124(iou_0.00).bmp,122,796,89,72599,72088,0.703866
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0125(iou_0.00).bmp,123,604,63,30182,30084,0.324697
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0126(iou_0.00).bmp,124,1434,139,56112,56185,32874865094557696.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0127(iou_0.00).bmp,125,726,62,41259,41136,0.298117
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0128(iou_0.00).bmp,126,842,172,97596,98050,18901126719995904.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0129(iou_0.00).bmp,127,1995,505,140714,140652,0.044061
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0130(iou_0.00).bmp,128,1166,85,48792,48525,0.547221
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0131(iou_0.00).bmp,129,2296,342,92249,92035,0.231981
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0132(iou_0.00).bmp,130,1182,210,75436,75340,0.127260
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0133(iou_0.00).bmp,131,2231,230,110160,109649,0.463871
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0134(iou_0.00).bmp,132,2404,127,95079,94783,0.311320
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0135(iou_0.00).bmp,133,211,22,21048,20886,0.769669
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0136(iou_0.00).bmp,134,1412,99,73824,74034,24987462598131712.000000
