file,index,original_capa,reduced_capa,증감율,,,평균 용량(byte),,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0050(iou_0.00).bmp,48,624,96,0.846153846,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0051(iou_0.00).bmp,49,14096,1200,0.914869467,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0052(iou_0.00).bmp,50,1656,224,0.8647343,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0053(iou_0.00).bmp,51,13952,1088,0.922018349,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0054(iou_0.00).bmp,52,14896,3160,0.787862513,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0055(iou_0.00).bmp,53,7480,616,0.917647059,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0056(iou_0.00).bmp,54,7976,968,0.878635908,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0057(iou_0.00).bmp,55,14448,3544,0.754706534,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0058(iou_0.00).bmp,56,19016,1352,0.928901977,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0059(iou_0.00).bmp,57,6968,816,0.882893226,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0060(iou_0.00).bmp,58,4448,440,0.901079137,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0061(iou_0.00).bmp,59,11024,800,0.92743106,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0062(iou_0.00).bmp,60,5968,488,0.918230563,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0063(iou_0.00).bmp,61,6528,1336,0.795343137,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0064(iou_0.00).bmp,62,19576,4976,0.745811197,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0065(iou_0.00).bmp,63,8904,696,0.921832884,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0066(iou_0.00).bmp,64,17816,2576,0.855410867,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0067(iou_0.00).bmp,65,10432,2176,0.791411043,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0068(iou_0.00).bmp,66,17216,1536,0.910780669,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0069(iou_0.00).bmp,67,19376,984,0.949215524,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0070(iou_0.00).bmp,68,1616,240,0.851485149,,,,,,
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_0071(iou_0.00).bmp,69,11632,856,0.926409904,,,,,,
