index,before_pt,after_pt,before_area,after_area
13,169,37,17197,17040,0.912950
13,155,26,16897,16850,0.278156
13,98,29,1647,1604,2.610807
14,265,90,46243,46112,0.283286
14,3,3,1,1,0.000000
14,1,1,27,25,7.407407
14,3,3,121,112,7.438016
14,2,2,35,32,8.571428
14,1,1,20,10,50.000000
14,1,1,36580,36256,0.885730
14,2,2,0,0,0.000000
14,5,3,0,0,0.000000
14,7,5,0,0,0.000000
14,10,6,0,0,0.000000
14,5,4,0,0,0.000000
14,1,1,0,0,0.000000
14,251,86,0,0,0.000000
14,13,8,0,0,0.000000
14,8,5,0,0,0.000000
14,2,2,0,0,0.000000
14,6,5,0,0,0.000000
14,1,1,0,0,0.000000
14,1,1,0,0,0.000000
14,4,3,0,0,0.000000
15,1,1,8267,8285,0.217733
15,45,14,17951,17856,0.529218
15,172,34,17171,17093,0.454254
15,170,30,17170,16939,1.345370
15,165,30,18589,18514,0.403464
15,175,40,18276,18190,0.470562
15,169,30,3236,3200,1.112485
15,72,17,1,1,0.000000
16,23,8,7,7,0.000000
16,14,7,1183,1151,2.704987
16,96,29,256,201,21.484375
16,31,17,301,290,3.654485
16,27,9,51,46,9.803922
16,1,1,39533,39481,0.131536
16,2,2,301,249,17.275747
16,22,6,1,1,0.000000
16,4,2,253,134,47.035572
16,1,1,35,30,14.285714
16,7,4,1,3,200.000000
16,21,8,12,336,2700.000000
16,1,1,448,3,99.330360
16,16,7,3,1,66.666664
16,294,101,1,535,53400.000000
16,1,1,610,663,8.688524
16,6,4,677,17566,2494.682373
16,24,12,17582,193,98.902283
16,17,5,203,597,194.088669
16,40,21,614,0,100.000000
16,8,6,0,0,0.000000
16,2,2,0,0,0.000000
17,7,4,23356,23296,0.256893
17,138,35,1,1,0.000000
17,161,32,3,3,0.000000
17,155,29,11,10,9.090909
17,151,36,20052,19825,1.132057
17,4,3,18980,18693,1.512118
17,2,2,17842,17840,0.011210
17,1,1,16059,16009,0.311352
17,116,34,139,75,46.043167
18,9,3,336,282,16.071428
18,5,4,152,141,7.236842
18,12,7,48,41,14.583333
18,14,8,42537,42406,0.307967
18,2,2,1,28651,2865000.000000
18,2,2,28536,32,99.887863
18,17,9,42,10,76.190475
18,2,2,14,19,35.714287
18,6,3,25,41,64.000000
18,2,2,49,1,97.959183
18,1,1,1,64211,6421000.000000
18,2,2,64415,43,99.933243
18,14,9,42,1,97.619049
18,4,3,1,3,200.000000
18,2,2,3,3,0.000000
18,2,2,3,10,233.333328
18,1,1,11,5,54.545456
18,7,6,5,135,2600.000000
18,523,241,136,3,97.794121
18,2,2,3,1,66.666664
18,1,1,1,19,1800.000000
18,2,2,22,5,77.272728
18,7,6,5,105,2000.000000
18,9,6,107,3,97.196259
18,6,4,3,3,0.000000
18,2,2,3,201,6600.000000
18,2,2,203,164,19.211823
18,1,1,176,22,87.500000
18,2,2,29,84,189.655167
18,2,2,114,0,100.000000
18,31,17,0,0,0.000000
18,3,2,0,0,0.000000
18,1,1,0,0,0.000000
18,5,4,0,0,0.000000
18,2,2,0,0,0.000000
18,5,3,0,0,0.000000
18,5,5,0,0,0.000000
18,1,1,0,0,0.000000
18,8,5,0,0,0.000000
18,4,3,0,0,0.000000
18,4,3,0,0,0.000000
18,7,4,0,0,0.000000
18,275,110,0,0,0.000000
18,1,1,0,0,0.000000
18,6,4,0,0,0.000000
18,1,1,0,0,0.000000
18,1,1,0,0,0.000000
18,15,8,0,0,0.000000
18,3,3,0,0,0.000000
18,1,1,0,0,0.000000
18,307,146,0,0,0.000000
18,2,2,0,0,0.000000
18,1,1,0,0,0.000000
18,24,13,0,0,0.000000
18,14,6,0,0,0.000000
18,14,8,0,0,0.000000
18,2,2,0,0,0.000000
18,9,6,0,0,0.000000
18,5,3,0,0,0.000000
18,1,1,0,0,0.000000
18,2,2,0,0,0.000000
18,1,1,0,0,0.000000
18,20,8,0,0,0.000000
18,6,5,0,0,0.000000
18,9,5,0,0,0.000000
18,8,4,0,0,0.000000
19,58,20,109,72,33.944954
19,126,27,12960,12890,0.540123
19,125,24,15511,15541,0.193411
19,101,20,16897,16831,0.390602
19,8,4,16279,16209,0.430002
20,25,7,11155,11134,0.188256
20,73,21,2132,2113,0.891182
21,21,6,3518,3503,0.426379
22,13,4,12314,12283,0.251746
22,23,12,12198,12195,0.024594
22,55,20,11228,11076,1.353758
22,62,18,11864,11784,0.674309
22,45,19,11242,11337,0.845045
22,90,17,9510,9520,0.105152
22,118,24,190,188,1.052632
23,23,8,1958,1898,3.064351
23,111,24,12070,11952,0.977630
23,130,27,11727,11526,1.713993
23,109,23,11890,11843,0.395290
23,78,18,12249,12262,0.106131
23,51,19,12209,12108,0.827259
23,25,10,1993,1959,1.705971
24,12,5,10380,10322,0.558767
24,113,22,12917,12805,0.867074
24,124,26,13414,13375,0.290741
24,99,20,14371,14390,0.132211
24,78,23,1246,1219,2.166934
25,60,17,17564,17589,0.142337
26,12,7,2007,1972,1.743896
26,24,10,4593,4618,0.544307
26,31,9,4303,4312,0.209156
26,35,10,4318,4385,1.551644
26,40,11,4706,4559,3.123672
26,48,11,4694,4706,0.255646
26,35,7,3783,3772,0.290775
27,13,4,38434,38434,0.000000
27,1,1,22452,22384,0.302868
27,1,1,4887,4924,0.757111
27,85,23,17213,17138,0.435717
27,69,22,1,1,0.000000
27,103,35,1,1,0.000000
27,126,37,545,497,8.807340
28,41,10,457,448,1.969365
28,59,13,4297,4270,0.628345
28,49,11,4442,4395,1.058082
28,42,12,4481,4534,1.182772
28,39,10,4534,4575,0.904279
28,27,11,4364,4407,0.985335
28,10,6,4500,4429,1.577778
29,2,2,276,296,7.246377
29,88,28,4997,4964,0.660396
29,56,14,5247,5171,1.448447
29,49,12,5888,5865,0.390625
29,56,10,14926,14753,1.159051
29,45,13,28755,28721,0.118240
29,14,4,7,7,0.000000
30,85,28,4251,4272,0.494001
30,25,6,30083,29990,0.309145
31,61,16,479,458,4.384134
31,144,34,16888,16775,0.669114
31,152,31,18480,18442,0.205628
31,157,31,18061,17898,0.902497
31,176,31,18515,18416,0.534702
31,144,31,18953,18927,0.137181
31,13,5,6276,6184,1.465902
32,1,1,60916,60726,0.311905
32,15,7,1,1,0.000000
32,102,52,3,3,0.000000
32,1,1,4,4,0.000000
32,10,6,31,38,22.580645
32,1,1,1,1,0.000000
32,2,2,11868,11844,0.202224
32,2,2,126,115,8.730159
32,1,1,1,1,0.000000
32,414,166,0,0,0.000000
32,2,2,0,0,0.000000
32,6,4,0,0,0.000000
32,1,1,0,0,0.000000
32,8,4,0,0,0.000000
32,1,1,0,0,0.000000
32,2,2,0,0,0.000000
32,2,2,0,0,0.000000
32,2,2,0,0,0.000000
32,2,2,0,0,0.000000
32,1,1,0,0,0.000000
32,62,24,0,0,0.000000
32,3,3,0,0,0.000000
33,83,23,13979,13828,1.080192
33,142,30,13573,13396,1.304060
33,52,19,16306,16301,0.030664
