file,index,before_pt,after_pt,before_area,after_area
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1955(iou_0.00).bmp,1889,1234,596,88164,87555,0.690758
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1956(iou_0.00).bmp,1890,533,116,51969,51449,1.000597
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1957(iou_0.00).bmp,1891,944,279,106674,106315,0.336539
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1958(iou_0.00).bmp,1892,239,107,16134,15967,1.035081
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1959(iou_0.00).bmp,1893,289,71,34444,34531,53555755395055616.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1960(iou_0.00).bmp,1894,496,116,66270,65853,0.629244
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1961(iou_0.00).bmp,1895,865,193,101053,100324,0.721404
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1962(iou_0.00).bmp,1896,1228,522,117564,117055,0.432956
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1963(iou_0.00).bmp,1897,162,40,14199,13901,2.098739
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1964(iou_0.00).bmp,1898,379,138,32202,31978,0.695609
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1965(iou_0.00).bmp,1899,959,207,102136,101616,0.509125
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1966(iou_0.00).bmp,1900,725,300,93177,92680,0.533393
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1967(iou_0.00).bmp,1901,968,198,102072,101859,0.208676
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1968(iou_0.00).bmp,1902,842,357,49900,49580,0.641283
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1970(iou_0.00).bmp,1903,775,180,97720,97184,0.548506
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1971(iou_0.00).bmp,1904,1324,634,123501,122677,0.667201
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1972(iou_0.00).bmp,1905,407,102,62776,62457,0.508156
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1973(iou_0.00).bmp,1906,90,26,13311,13267,0.330554
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1974(iou_0.00).bmp,1907,20,7,3563,3561,0.056132
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1975(iou_0.00).bmp,1908,410,126,70112,70035,0.109824
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1976(iou_0.00).bmp,1909,517,127,63795,63677,0.184967
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1977(iou_0.00).bmp,1910,431,84,53198,52875,0.607166
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1978(iou_0.00).bmp,1911,63,21,17062,16983,0.463017
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1979(iou_0.00).bmp,1912,234,70,30377,30244,0.437831
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1980(iou_0.00).bmp,1913,366,113,84703,84671,0.037779
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1981(iou_0.00).bmp,1914,286,76,29006,28952,0.186168
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1982(iou_0.00).bmp,1915,350,104,59184,58663,0.880305
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1983(iou_0.00).bmp,1916,100,26,33948,33724,0.659833
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1984(iou_0.00).bmp,1917,870,183,97750,97023,0.743734
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1985(iou_0.00).bmp,1918,831,364,68339,67836,0.736037
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1986(iou_0.00).bmp,1919,404,101,54173,54029,0.265815
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1987(iou_0.00).bmp,1920,204,97,33585,33250,0.997469
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1988(iou_0.00).bmp,1921,31,17,280,241,13.928572
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1990(iou_0.00).bmp,1922,12,8,280,261,6.785714
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1991(iou_0.00).bmp,1923,376,163,45868,45679,0.412052
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1992(iou_0.00).bmp,1924,569,141,61360,60823,0.875163
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1993(iou_0.00).bmp,1925,368,99,58724,58266,0.779920
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1994(iou_0.00).bmp,1926,689,140,80685,80289,0.490798
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1995(iou_0.00).bmp,1927,868,188,96759,96460,0.309015
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1996(iou_0.00).bmp,1928,515,170,100496,100246,0.248766
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1997(iou_0.00).bmp,1929,965,200,101518,101110,0.401899
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1998(iou_0.00).bmp,1930,707,175,114782,114121,0.575874
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_1999(iou_0.00).bmp,1931,640,172,101863,101416,0.438825
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2000(iou_0.00).bmp,1932,107,28,23523,23555,78420029741203456.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2001(iou_0.00).bmp,1933,92,25,15209,14948,1.716089
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2002(iou_0.00).bmp,1934,469,133,55017,54450,1.030591
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2003(iou_0.00).bmp,1935,734,328,58818,58544,0.465844
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2004(iou_0.00).bmp,1936,883,213,112575,112308,0.237175
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2005(iou_0.00).bmp,1937,409,111,72145,71792,0.489292
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2006(iou_0.00).bmp,1938,255,60,30199,30034,0.546376
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2007(iou_0.00).bmp,1939,593,168,56162,55930,0.413091
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2008(iou_0.00).bmp,1940,339,69,43327,42990,0.777806
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2009(iou_0.00).bmp,1941,489,186,101702,101054,0.637156
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2010(iou_0.00).bmp,1942,1298,671,125089,124576,0.410108
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2011(iou_0.00).bmp,1943,422,97,49344,49139,0.415451
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2012(iou_0.00).bmp,1944,856,308,96187,95723,0.482394
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2013(iou_0.00).bmp,1945,576,267,56558,56256,0.533965
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2014(iou_0.00).bmp,1946,1088,227,113193,112852,0.301255
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2015(iou_0.00).bmp,1947,848,166,97918,97302,0.629098
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2016(iou_0.00).bmp,1948,118,35,20432,20379,0.259397
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2018(iou_0.00).bmp,1949,502,151,95418,95226,0.201220
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2019(iou_0.00).bmp,1950,586,183,101114,101085,0.028680
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2020(iou_0.00).bmp,1951,1097,544,124804,124364,0.352553
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2021(iou_0.00).bmp,1952,543,116,52328,52054,0.523620
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2022(iou_0.00).bmp,1953,863,280,80514,80332,0.226048
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2023(iou_0.00).bmp,1954,137,35,6888,6922,267809868243533824.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2024(iou_0.00).bmp,1955,107,49,3052,3003,1.605505
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2025(iou_0.00).bmp,1956,490,121,65080,64698,0.586970
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2026(iou_0.00).bmp,1957,865,205,99390,98946,0.446725
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2027(iou_0.00).bmp,1958,1266,547,91377,90642,0.804360
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2028(iou_0.00).bmp,1959,161,40,14904,14714,1.274826
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2029(iou_0.00).bmp,1960,355,137,29189,28851,1.157970
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2030(iou_0.00).bmp,1961,945,192,102072,101648,0.415393
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2031(iou_0.00).bmp,1962,552,200,90830,90660,0.187163
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2032(iou_0.00).bmp,1963,1021,205,100908,100378,0.525231
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2033(iou_0.00).bmp,1964,683,273,76564,76274,0.378768
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2035(iou_0.00).bmp,1965,710,159,97417,97039,0.388023
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2036(iou_0.00).bmp,1966,1118,513,146253,145488,0.523066
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2037(iou_0.00).bmp,1967,139,64,4540,4468,1.585903
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2038(iou_0.00).bmp,1968,98,24,13325,13231,0.705441
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2039(iou_0.00).bmp,1969,22,7,3315,3265,1.508296
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2040(iou_0.00).bmp,1970,400,113,68868,68538,0.479178
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2041(iou_0.00).bmp,1971,484,105,62224,61895,0.528735
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2042(iou_0.00).bmp,1972,406,93,51527,51038,0.949017
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2043(iou_0.00).bmp,1973,52,19,16852,16872,109463237312905216.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2044(iou_0.00).bmp,1974,234,76,31159,30920,0.767034
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2045(iou_0.00).bmp,1975,22,14,107,76,28.971962
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2046(iou_0.00).bmp,1976,272,77,29332,29002,1.125051
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2047(iou_0.00).bmp,1977,369,94,59659,59028,1.057678
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2048(iou_0.00).bmp,1978,92,25,35412,35209,0.573252
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2049(iou_0.00).bmp,1979,908,197,96778,96354,0.438116
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2050(iou_0.00).bmp,1980,698,330,53722,53458,0.491419
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2051(iou_0.00).bmp,1981,403,100,54994,54935,0.107284
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2052(iou_0.00).bmp,1982,202,92,35318,35106,0.600260
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2053(iou_0.00).bmp,1983,206,90,10499,10401,0.933422
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2054(iou_0.00).bmp,1984,38,20,1492,1462,2.010724
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2055(iou_0.00).bmp,1985,66,35,3042,3000,1.380671
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2056(iou_0.00).bmp,1986,308,135,41701,41463,0.570730
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2057(iou_0.00).bmp,1987,535,130,60367,59809,0.924346
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2058(iou_0.00).bmp,1988,375,105,59019,58734,0.482895
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2059(iou_0.00).bmp,1989,671,133,80480,80277,0.252237
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2060(iou_0.00).bmp,1990,866,166,97247,96517,0.750666
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2061(iou_0.00).bmp,1991,518,160,98847,98532,0.318674
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2062(iou_0.00).bmp,1992,915,178,100179,99481,0.696753
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2063(iou_0.00).bmp,1993,729,170,114020,113452,0.498158
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2064(iou_0.00).bmp,1994,681,183,99202,99049,0.154231
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2065(iou_0.00).bmp,1995,100,35,23594,23523,0.300924
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2066(iou_0.00).bmp,1996,105,33,15947,15840,0.670973
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2067(iou_0.00).bmp,1997,473,149,52889,52539,0.661763
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2068(iou_0.00).bmp,1998,97,39,2754,2619,4.901961
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2069(iou_0.00).bmp,1999,331,167,11180,11010,1.520572
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2070(iou_0.00).bmp,2000,437,111,73029,72749,0.383409
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2071(iou_0.00).bmp,2001,266,55,30657,30371,0.932903
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2072(iou_0.00).bmp,2002,538,120,56351,55727,1.107345
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2073(iou_0.00).bmp,2003,326,71,43657,43553,0.238221
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2074(iou_0.00).bmp,2004,508,180,99104,98544,0.565063
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2075(iou_0.00).bmp,2005,1178,604,135647,135232,0.305941
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2076(iou_0.00).bmp,2006,423,103,50412,50338,0.146790
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2077(iou_0.00).bmp,2007,929,374,101162,101226,18234854885818368.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2078(iou_0.00).bmp,2008,72,39,1132,1093,3.445230
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2079(iou_0.00).bmp,2009,546,298,12876,12470,3.153153
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2080(iou_0.00).bmp,2010,853,170,97584,97182,0.411953
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2081(iou_0.00).bmp,2011,116,35,20344,20294,0.245773
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2082(iou_0.00).bmp,2012,634,145,76377,76101,0.361365
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2083(iou_0.00).bmp,2013,520,152,96097,95866,0.240382
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2084(iou_0.00).bmp,2014,615,187,100472,100128,0.342384
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2085(iou_0.00).bmp,2015,1499,742,96537,96262,0.284865
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2086(iou_0.00).bmp,2016,560,118,52417,52206,0.402541
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2087(iou_0.00).bmp,2017,802,208,106259,105983,0.259743
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2088(iou_0.00).bmp,2018,119,53,24838,24592,0.990418
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2089(iou_0.00).bmp,2019,287,77,34042,34080,54188189329391616.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2090(iou_0.00).bmp,2020,477,111,66138,65545,0.896610
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2091(iou_0.00).bmp,2021,889,208,99992,99593,0.399032
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2092(iou_0.00).bmp,2022,970,366,102420,101542,0.857254
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2093(iou_0.00).bmp,2023,161,40,14358,14025,2.319264
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2094(iou_0.00).bmp,2024,330,99,31839,31499,1.067873
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2095(iou_0.00).bmp,2025,905,193,102396,101833,0.549826
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2096(iou_0.00).bmp,2026,588,242,83266,82874,0.470780
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2097(iou_0.00).bmp,2027,957,215,99753,99215,0.539332
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2098(iou_0.00).bmp,2028,849,360,51931,51257,1.297876
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2100(iou_0.00).bmp,2029,720,165,96827,96618,0.215849
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2101(iou_0.00).bmp,2030,1326,636,103714,102915,0.770388
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2102(iou_0.00).bmp,2031,396,100,61383,61450,30051877580177408.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2103(iou_0.00).bmp,2032,89,30,13779,13639,1.016039
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2104(iou_0.00).bmp,2033,21,8,3600,3581,0.527778
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2105(iou_0.00).bmp,2034,385,114,69892,69820,0.103016
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2106(iou_0.00).bmp,2035,514,113,63109,62993,0.183809
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2107(iou_0.00).bmp,2036,414,84,52455,52258,0.375560
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2108(iou_0.00).bmp,2037,61,20,17183,17120,0.366641
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2109(iou_0.00).bmp,2038,238,68,30948,30613,1.082461
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2110(iou_0.00).bmp,2039,352,106,84875,84490,0.453608
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2111(iou_0.00).bmp,2040,277,76,29085,28894,0.656696
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2112(iou_0.00).bmp,2041,353,106,60796,60234,0.924403
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2113(iou_0.00).bmp,2042,103,38,32175,32027,0.459984
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2114(iou_0.00).bmp,2043,905,184,96795,95912,0.912237
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2115(iou_0.00).bmp,2044,510,219,37769,37512,0.680452
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2116(iou_0.00).bmp,2045,434,124,51632,51207,0.823133
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2117(iou_0.00).bmp,2046,221,97,31334,31342,58871335769604096.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2118(iou_0.00).bmp,2047,157,74,4427,4258,3.817484
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2119(iou_0.00).bmp,2048,58,32,1030,999,3.009709
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2120(iou_0.00).bmp,2049,15,11,133,131,1.503759
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2121(iou_0.00).bmp,2050,286,109,47194,46896,0.631436
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2122(iou_0.00).bmp,2051,559,135,60908,60748,0.262691
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2123(iou_0.00).bmp,2052,388,103,57892,57629,0.454294
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2124(iou_0.00).bmp,2053,686,149,81341,80795,0.671248
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2125(iou_0.00).bmp,2054,874,168,97540,96551,1.013943
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2126(iou_0.00).bmp,2055,520,167,100361,99775,0.583892
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2127(iou_0.00).bmp,2056,895,177,101298,100724,0.566645
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2128(iou_0.00).bmp,2057,747,168,113910,113304,0.531999
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2129(iou_0.00).bmp,2058,678,191,99972,99425,0.547153
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2130(iou_0.00).bmp,2059,116,30,23101,22935,0.718584
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2131(iou_0.00).bmp,2060,104,29,14875,14744,0.880672
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2132(iou_0.00).bmp,2061,401,109,53889,53693,0.363711
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2133(iou_0.00).bmp,2062,723,283,62255,61689,0.909164
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2134(iou_0.00).bmp,2063,905,187,112044,111683,0.322195
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2135(iou_0.00).bmp,2064,387,116,72926,72605,0.440172
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2136(iou_0.00).bmp,2065,241,56,30149,29942,0.686590
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2137(iou_0.00).bmp,2066,532,134,56834,56480,0.622867
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2138(iou_0.00).bmp,2067,346,75,43863,43902,42055361984724992.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2139(iou_0.00).bmp,2068,490,174,99878,99251,0.627766
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2140(iou_0.00).bmp,2069,1096,530,146960,146835,0.085057
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2141(iou_0.00).bmp,2070,404,102,50031,49798,0.465711
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2142(iou_0.00).bmp,2071,1098,435,97318,97360,18955120901357568.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2143(iou_0.00).bmp,2072,489,188,52296,52310,35273718146007040.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2144(iou_0.00).bmp,2073,1065,221,114638,114451,0.163122
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2145(iou_0.00).bmp,2074,882,167,99282,98854,0.431095
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2146(iou_0.00).bmp,2075,134,36,20148,20093,0.272980
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2147(iou_0.00).bmp,2076,643,134,74931,74513,0.557847
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2148(iou_0.00).bmp,2077,505,147,96859,96611,0.256042
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2149(iou_0.00).bmp,2078,623,180,102384,102458,18017213860544512.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2150(iou_0.00).bmp,2079,1191,606,81853,81494,0.438591
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2151(iou_0.00).bmp,2080,518,109,52746,52278,0.887271
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2152(iou_0.00).bmp,2081,945,339,96533,96395,0.142956
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2153(iou_0.00).bmp,2082,141,59,12191,12054,1.123780
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2154(iou_0.00).bmp,2083,330,93,31521,31422,0.314076
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2155(iou_0.00).bmp,2084,480,108,66236,65812,0.640135
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2156(iou_0.00).bmp,2085,880,208,101345,100836,0.502245
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2157(iou_0.00).bmp,2086,1251,513,102397,101736,0.645527
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2158(iou_0.00).bmp,2087,154,44,14930,14620,2.076356
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2159(iou_0.00).bmp,2088,270,106,22064,22059,0.022661
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2160(iou_0.00).bmp,2089,963,212,105065,104827,0.226526
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2161(iou_0.00).bmp,2090,808,358,81903,81820,0.101339
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2162(iou_0.00).bmp,2091,991,213,102208,101651,0.544967
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2163(iou_0.00).bmp,2092,591,271,52248,51721,1.008651
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2165(iou_0.00).bmp,2093,732,161,97012,96610,0.414382
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2166(iou_0.00).bmp,2094,1077,496,129026,128655,0.287539
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2167(iou_0.00).bmp,2095,395,99,60705,60608,0.159789
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2168(iou_0.00).bmp,2096,100,27,13622,13555,0.491851
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2169(iou_0.00).bmp,2097,20,6,3089,3118,597175276492816384.000000
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2170(iou_0.00).bmp,2098,387,105,69251,69070,0.261368
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2171(iou_0.00).bmp,2099,507,111,63709,63495,0.335902
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2172(iou_0.00).bmp,2100,394,85,52567,52240,0.622063
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2173(iou_0.00).bmp,2101,59,17,16594,16556,0.228998
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2174(iou_0.00).bmp,2102,219,67,31569,31187,1.210048
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2175(iou_0.00).bmp,2103,384,127,84703,84389,0.370707
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2176(iou_0.00).bmp,2104,269,75,29898,29781,0.391331
D:\2020\DS\Project\2020-12-07-contour_image\FP_cut\1_2177(iou_0.00).bmp,2105,381,112,60459,60355,0.172017
